,id,de,ch_sg,ch_be,ch_gr,ch_zh,ch_vs,ch_bs,ch_ag,ch_lu,thema,code_switching
680,680,Bei den Vögeln ist es oft so: Die hässlichen Arten haben einen schöneren Gesang und die schöneren Arten einen hässlicheren Gesang.,Bi de Vögel isches oft so: Die hässliche Arte hend en schöne Gsang und di schönere Arte en häslichere Gsang.,Bidä Vögu isches oft so: die hässlechä Artä hei ä schönerä Gsang und die schönerä Artä ä hässlecherä Gsang.,Bi da Vögel isch es oft so: Dia hässlicha Arta hend an schönera Gsang und dia schöna Arta an hässlichera Gsang.,Bi Vögel isches hüfig so: Di grusige Arte händ en schönere Gsang und di schönere Arte händ en grusigere Gsang.,Bi de Vegel ischus vill eso: D'hässlichu Arte hent en schönere Gsang und d'schöneru Arte en hässlichere Gsang.,Bi de Vögel isch es oft so: Die grusige Arte händ ä schönere Gsang und die schönere Arte ä grusigere Gsang.,Bede Vögel esches oftmols so: die hässlche Arte händ en schöne Gsang ond die schöne Arte händ en hässleche Gsang.,Be de Vögel esches hüüfig eso: Di wüeste Arte hend e schönere Gsang ond di schönere Arte en wüestere Gsang.,tiere-pflanzen-landwirtschaft,
681,681,Obwohl das erste Schwanenpaar noch in einem aus heutiger Sicht ziemlich engen Gehege gefangen war.,Obwohl serschte Schwanepaar no imne us hütiger Sicht zimli enge Gheg gfange gsi isch.,"Obwou s erschtä Schwanäpaar imene Gheeg isch gfangä gsi, wo us hüttiger Sicht zimlech äng isch.",Obwohl ds ersta Schwanapaar no inem us hütiger Sicht ziemlich enga Gehege gfanga gsi isch.,Obwohl s erste Schwanepaar no imne us hütiger Sicht zimli änge Ghäg gfange gsi isch.,Obwohl z'erschti Schwanupaar nu imu üs hitiger Sicht zimli änggu Gheg gfangu isch gsi.,Obwohl s erste Schwanepaar no in me us hütiger Sicht zimmlich änge Gheg gfange gseh isch.,Obwohl s'ersechte Schwanepaar no e eim us hötiger Secht sehr ängi Gheg gfange gsi esch.,,tiere-pflanzen-landwirtschaft,
682,682,"Das Feuer bedroht nicht nur Tiere, sondern auch Menschen und ihre Gesundheit.","sFüür bedroht nöd nur Tier, sondern au Mensche und ihri Gsundheit.","S Füür bedroht nid numä Tier, sondern o Mönschä und iri Gsundheit.","Ds Füür bedroht nit nur Tiar, sondern au Menscha und ihri Gsundheit.","S Für bedroht nöd nur Tier, sondern au Mänsche und ihri Gsundheit.","Z'Fiir bedroht nit nur Tieri, sondern öi Mänsche und ihrusch Gsundheit.","S Füür bedroht nid nur Tier, sondern au Mensche und ihri Gsundheit.","S'Für bedroht ned nome Tier, sondern au Mönsche ond eri Gsondheit.","S Füür bedroht ned nor d Tier, sondern au d Mönsche ond ehri Gsondheit.",tiere-pflanzen-landwirtschaft,
683,683,Zecken gibt es inzwischen überall.,Zecke gits inzwüsche überall.,Zäggä gits inzwüschä überau.,Zecka gits inzwüscha überall.,Zecke gits mittlerwile überall.,Zäche gits mittlerwilu uberall.,Zecke gits inzwüsche überall.,Zäcke gehts onterdesse öberall.,Zägge geds onderdesse fast öberall.,tiere-pflanzen-landwirtschaft,
684,684,Das exotische Reptil ist dort auf jeden Fall in bester Gesellschaft.,Das exotische Reptil isch döt uf jede Fall i beschter Gsellschaft.,Das exotischä Reptil isch dert uf jedä Fau in beschter Gseuschaft.,Ds exotischa Reptil isch döt uf jeda FAll in besteer Gsellschaft.,S exotische Reptil isch det uf jede Fall i bester Gsellschaft.,Z'exotischi Reptil isch da uf jedu Fall in beschter Gsellschaft.,S exostische Tier isch dört uf jede Fall in bester Gsellschaft.,S'exothische Reptil esch dete of jedefall e beschter Gselleschaft.,S exotische Reptil esch döt uf jede Fall en bester Gsellschaft.,tiere-pflanzen-landwirtschaft,
685,685,"« Sie empfand den Begriff als abwertend », erklärt ihre Tochter.","""Si het de Begriff als abwertend empfunde"" het ihri Tochter erchlärt.","""Si het dr Begriff aus abwärtend empfundä"", erchlärt iri Tochter.",""" Sie het dr Begriff als abwertend empfunda"", erklärt ihri Tochter.","""Si hät de Begriff als abwertend empfunde"", erchlärt ihri Tochter.","""Schi het der Begriff als abwärtend empfundu"", erklärt ihrusch Tochter.","""Si het de Begriff als abwärtend empfunde"", erklärt ihri Tochter.","""Sie het de Begreff als abwärtend emnpfonde"", het eri Tochter erklärt.","""Sie hed de Begreff als abwärtend empfonde"", eklährt ehri Tochter.",tiere-pflanzen-landwirtschaft,
686,686,Zudem treten sie oft in Schwärmen auf.,Zuedem treted sie oft i Schwärm uf.,Zudäm trättä si oft in Schwärm uf.,Zudem treten sie of in Schwärm uuf.,Zuesätzlich chömeds hüfig in Schwärm vor.,Züedem trätunt schi vill in Schwarma üf.,Usserdäm trätte si oft in Schwärm uf.,Zodem träte sie oft e Schwärm uf.,Dezue sends hüfig en Schwärm onderwägs.,tiere-pflanzen-landwirtschaft,
687,687,Breitblättriges Knabenkraut – diese Orchidee ist in der Schweiz geschützt.,Breitblättrigs Knabechruut - Die Orchidee isch i de Schwiiz gschützt.,Breitblättrigs Chnabächrut - die Orchideä isch ir Schwiz gschützt.,Breitblättirgs Knabakrut – dia Orchideea isch in dr Schwiz gschützt.,Breitblättrigs Knabechrut - die Orchidee isch ide Schwiz gschützt.,Breitblättrigs Knabuchrüt - dischi Orchidea isch iner Schwiz gschützt.,Breitblättrigs Knabekrut - die Orchidee isch in dr Schwiiz gschützt.,Bleiblättrigs Knabechrut - die Orchidee esch ede Schwiz gschötzt.,Breitblättrige Fengerworz - die Orchidee esch ide Schwiiz gschötzt.,tiere-pflanzen-landwirtschaft,
688,688,"Ein sauberes Bohrloch entsteht nur, wenn seitlich ins Holz gebohrt wird.","E subers Bohrloch entstoht nur, wenn siitlich is Holz bohred wird.","Es subers Bohrloch entschteit numä, we sitlech is Houz bohrt wird.","As suberes Bohrloch entstoht nur, wenn siitlich ins Holz bohrt wird.","Es subers Bohrloch gits nur, wenn mer sitlich is Holz bohred.","Es sübers Bohrloch entsteit nur, wenn sitlich ins Holz gibohrt wird.","Ä suubers Bohrloch enstoht nur, wenn siitlich in s Holz bohrt wird.","Es subers Bohrloch entsoht nome, wenn sitlech es Holz bohrt werd.","Es suubers Bohrloch geds nomme, wemmer siitlech is Holz bohrt.",tiere-pflanzen-landwirtschaft,
689,689,Der Laubfrosch gehört zu den bekanntesten Amphibien Mitteleuropas und ist streng geschützt.,De Laubfrosch ghört zu de bekanntischte Amphibie vo Mitteleuropa und isch streng gschützt.,Dr Loubfrosch ghört zudä bekanntischtä Amphibiä in Mittueuropa und isch schträng gschützt.,Dr Laubfrosch ghört zu da bekanntista Amphibia vu Mitteleuropa und isch streng gschützt.,De Laubfrosch ghört zude bekanntischte Amphibie vo Mitteleuropa und isch sträng gschützt.,Der Löibfrosch kehrt zu de bekannteschtu Amphibie va Mitteleuropa und isch stäng gschützt.,Dr Laubfrosch ghört zu de bekannstiste Amphibie vo Mitteleuropa und isch sträng gschützt.,De Laubfrosch ghört zode bekanntischte Amohibie fo Metteleuropa ond esch sträng gschötzt.,De Laubfrosch ghört zode bekanntiste Amphibie en Metteleuropa ond esch sträng gschötzt.,tiere-pflanzen-landwirtschaft,
690,690,"Oft, sagt er, brauchten die Bauern Mut dringender als Geld.","Oft, seit er, brüchtet dBuure Mut dringender als Geld.","Oft bruuchä Purä dringender Muet aus Gäud, seiter.","Oft, seit er, brüchten d Puura Muat dringender als Geld.","Er seit, dass d Buure Muet hüfig dringender bruched als Gäld.","Vill, seider, hent die Püüru Müet dringender gibrücht wa Gäld.","Oft, seit är, bruuche d Buure Muet dringender als Gäld.","Oft, seit er, bruche d'Bure Muet drengender als Gäld.","Hüfig, seider, brüchted d Buure meh Muet als Gäld.",tiere-pflanzen-landwirtschaft,
692,692,"Besonders, wenn ihre Stängel über den Winter stehen gelassen werden, denn der Distelfink frisst die Samen.","Bsunders, wenn ihri Stängel über de Winter stoh glo werded, will de Distelfink frisst dSome.","Bsunders wenn iri Schtänglä überä Winter wärdä schta gla, denn dr Dischtufink frisst d Samä.","Bsunders, wenn ihri Stängel über da Winter stohl gloh werden, will dr Distelfink frisst d Sama.","Bsunders, wenn ihri Stängel über de Winter stah glah werded, will de Distelfink frisst d Same.","Bsuners, wenn ihri Stängel uber de Winter stah glah wärdunt, will der Dischtelfink isch en Samu.","Bsunders, will ihri Stängel über de Winter stoh gloh wärde, dr Dinkelfink frisst nämmlich d Sohme.","Bsonders wenn eri Stängel öbere Wenter stoh gloh wärde, will de Distelfenk fresst d'Some.","Bsonders, wenn ehre Stängel öber de Wenter stoh gloh werd, well de Distelfink fresst sini Some.",tiere-pflanzen-landwirtschaft,
693,693,Das Geheimrezept: Wildblumen.,SGheimrezept: Wildblueme.,S Gheimrezpät: Wiudbluemä.,Ds Geheimrezept: Wildbluama.,S Gheimrezäpt: Wildblueme.,Z'Gheimrezäpt: Wildblüeme.,S Gheimrezäpt: Wildblueme.,S'Gheimrezept: Weldblueme.,S Gheimrezäpt: Weldblueme.,tiere-pflanzen-landwirtschaft,
694,694,Der Bundesrat hat zweitausendsiebzehn im Rahmen der nationalen « Strategie Biodiversität Schweiz » den « Aktionsplan Biodiversität » beschlossen.,"De Bundesrot het zweituusigsibzeh im Rahme vo de nationale ""Strategie Biodiversität Schwiiz"" de ""Aktionsplan Biodiversität"" beschlosse.","Dr Bundesrat het zwöituusigsibzäh im Rahmä vo nationalä ""Schtrategie Biodiversität Schwiz"" dr ""Aktionsplan Biodiversität"" beschlossä.","Ds Bundesrot het zweituusigsiebzehn im Rahma vur nationala ""Strategie Biodiversität Schweiz""dr ""Aktionsplan Biodiversität""beschlossa.","De Bundesrat hät zweitusigsibzäh im Rahme vode nationale ""Strategie Biodiversität Schwiz"" de ""Aktionsplan Biodiversität"" gmacht.","Der Bundesrat het zweitüüsigundsibzäh im Rahmu vaner nationalu ""Strategie Biodiversität Schwiz"" der ""Aktionsplan Biodiversität"" beschlossu.","Dr Bundesroot het im zweituusigundsibzäh im Rahme vo dr nationale ""Strategie Biodiversität Schwiiz"" dr ""Aktionsplan Biodiversität"" beschlosse.","De Bondesrot het zwoitusigondsebezäh em Rahme fode nationale ""Strategie Biodiversität Schwiz"" de ""Aktionsplan Biodiversität"" beschlosse.","De Bondesrot hed zwoitusigsebzäh em Rahme vode nationale ""Strategie Biodiversität Schwiiz"" de ""Aktionsplan Biodivärsität"" beschlosse.",tiere-pflanzen-landwirtschaft,
695,695,"Auch das Mückenmonitoring werde zweitausendneunzehn hochgefahren und an einigen Stellen, wie in Thusis, Domat/Ems, Chur und Zizers, erweitert.","Aus Muggemonitoring sött zweituusginünzeh hochgfahre und a einigi Stelle, wie in Thusis, Domat/Ems, Chur und Zizers erwiitered werde.","O s Muggämonitoring wärdi zwöituusignünzäh ufägfahrä und a einigä Schteuä wie in Thusis, Domat/Ems, Churz und Zizers erwiteret.","Au ds Muckamonitoring werdi zweituusignünzehn uffagfahra und an einiga Stella, wia in Thusis, Domat/Ems, Chur und Zizers, erwiiteret.","Au im Muggemonitoring wird zweitusignünzäh ufgrüsted und a paarne Stelle, wie in Thusis, Domat/Ems, Chur und Zizers erwitered.","Öi z'Muggimotoring wärde zweitüüsigundninzäh ebrüfgfahru und an es paar Stelle, wie z'Thusis, Domat/Ems, Chur und Zizers, erwitrut.","Aus s Muggemonotoring wird im zweituusigundnünzäh ufegfahre und and einige Stelle, wie in Thusis, Domat/Ems, Chur und Zizers, erwiiteret.","Au s'Moggemonitoring werd zwoitusigondnünzäh ufegfahre ond anes paar Stelle wie Thusis, Dornat/Erns, Chur ond Zizers erwiteret.","Au s Moggemonitoring wärdi zwoitusigondnünzäh ufegfahre ond anes paar Stelle wie en Thusis, Domat/Ems, Chur ond zizers erwiiteret.",tiere-pflanzen-landwirtschaft,
696,696,Der Auenschutzpark entstand durch eine Volksabstimmung eintausendneunhundertdreiundneunzig.,De Aueschutzpark isch dur e Volksabstimmig nünzehdrüehnünzg entstande.,Dr Ouäschutzpark isch nünzähdrüänünzg dürnä Vouksabschtimmig entschtandä.,Dr Auaschutzpark isch dur a Volksabstimmig tuusignüünhundertdreiänünzig entstanda.,De Auenschutzpark isch dur e Volksabstimmig nünzähdrüenünzg entstande.,Der Auenparkschutz isch durch en Volksabstimmig ninzähhunertdrijuninzg entstandu.,Dr Aueschutzpark isch durch ä Volksabstimmig nünzähdreienünzig enstande.,De Aueschotzpark esch dor en Volksabstemmig nünzähhondertdrüenünzg entstande.,De Aueschotzpark esch döre Volksabstemmig em drüenünzgi entstande.,tiere-pflanzen-landwirtschaft,
697,697,"Der Hallwilersee ist einer der wenigen Gewässer in der Schweiz, in dem die Europäische Sumpfschildkröte noch lebt.","De Hallwilersee isch eine vo de wenige Gwässer i de Schwiiz, wo di Europäisch Sumpfschildkröte no lebt.","Dr Hallwilersee isch eis vodä wenigä Gwässer ir Schwiz, wo die Europäischi Sumpfschiudchrott no läbt.","Dr Hallwilersee isch eina vu da weniga Gwässer in dr Schwiz, in dem dia Europäisch Sumpfschildkrot no lebt.","De Hallwilersee isch eine vode wenige Gwässer ide Schwiz, wo di Europäisch Sumpfschildchrot no läbt.","Der Hallwilersee isch eis vane wenigu Gwässer iner Schwiz, wa d'europäisch Sumpfschildkrota nu läbt.","Dr Halwilersee isch ein vo de wenige Gwässer in dr Schwiiz, wo die Europäischi Sumpfschilkrot no läbt.","De Hallwilersee esch eine fode wenige Gwässer ede Schwiz, wo die europäischi Sompfscheldchrot no läbt.","De Halwilersee esch eine vode wenige Gwässer ide Schwiiz, wo di Europäisch Sompfscheldchrot no läbt.",tiere-pflanzen-landwirtschaft,
698,698,Auf eine Begegnung mit dem Wolf musster er aber lange warten.,Uf e Begegnig mitem Wolf het er aber lang möse warte.,Ufnä Begägnis mitem Wouf heter aber lang müessä wartä.,Uf a Begegnig mit am Wolf hetter lang müassa warta.,Uf e Begägnig mitem Wolf häter aber lang müsse warte.,Uf en Begägnig mit dum Wolf heder aber lang miessu wartu.,Uf ä Begegnig mit em Wolf het är aber lang müesse warte.,Of en Begägnig met em Wolf heter aber lang müesse warte.,Uf en Begägnig met em Wolf heder aber lang mösse warte.,tiere-pflanzen-landwirtschaft,
699,699,"Leiden Kühe und die Kälber wirklich so stark, wenn sie voneinander getrennt werden?","Leided Chüeh und Chälber würkli so starch, wenn si vonenand ttrennt werded?","Lidä Chüä und Chäuber würklech so schtarch, wesi vonenang trennt wärdä?","Liiden Küah und d Kälber würkli so stark, wenn sie vonanand trennt werden?","Lided Chüe und Chälber würkli so fest, wenns vonenand trännt werded?","Lidunt Chieh und Chälber wirkli so starch, wenn schi vanenander gitrännt wärdunt?","Liide Kälber und Küeh würklich so stark, wenn si vonenand trennt wärde?","Lide Chüeh ond Chälber wörklech so starch, wenn sie fonenand trennt wärde?","Liided d Chüeh ond d Chälbli werklech so starch, wenn sie vonenand trennt wärded?",tiere-pflanzen-landwirtschaft,
700,700,"Wo Obstbäume stehen, können regelmässig Gartenvögel wie der Gartenrotschwanz oder der Specht beobachtet werden.","Wo Obstbäum stönd, chönd regelmässig Gartevögel wie de Garterotschwanz oder de Specht beobachted werde.","Wo Obschtböim schtö, chöi regumässig Gartävögu wi dr Gartärotschwanz oder dr Schpächt beobachtet wärdä.","Wo Obstbäum stöhn, könn regelmässig Gartavögel wia dr Gartarotschwanz beobachtet werda.","Wos Obstboim hät, chönd regelmässig Gartevögel wie s Garterotschwänzli oder de Spächt beobachtet werde.","Wa Obschtbeim stähnt, chännunt regelmässig Gartuvegel wie der Garturotschwanz oder der Spächt beobachtut wärdu.","Wo's Obstbäum het, könne regelmässig Gartevögel wie dr Garterotschwanz oder dr Spächt beobachtet wärde.","Wo Obschtbäum stönd, chönne regelmässig Gartevögel wie de Garterotschwanz oder de Spächt beobachtet wärde.","Wos Obstbäum hed, chamer regelmässig Gartevögel wiede Gerterotschwanz oder de Spächt beonbachte.",tiere-pflanzen-landwirtschaft,
701,701,In den letzten Tagen fielen in Australien zwar Sturzfluten und riesige Hagelkörner vom Himmel.,I de letschte Täg sind in Australie zwor Sturzfluete und risigi Hagelchörner vom Himmel gfalle.,Idä letschtä Täg si zwar in Ouschtraliä Schturzfluetä und riesigi Haguchörner vom Himu gheit.,In da letschta Täg sind in Australia zwor Sturzfluata und riesigi Hagelkörner vum Himmel keit.,Ide letschte Täg sind in Australie zwar Sturzfluete und risigi Hagelchörner vom Himmel gheit.,Ine letschtu Täg sind z'Auschtralien zwar Sturzflüete und riesigi Hagelcherner vam Himmel gflogu.,In de letschte Dääg sind in Australie zwar Sturzfluete und riesigi Hagelkörner vom Himmel gheit.,Ede letzte Täg send in Australie zwar Storzfluete ond riesigi Hagelchörner fom Hemmel gheit.,I de letzte Täg heds zwar en Australie Storzfluete grägnet ond riisigi Hagelchörner send vom Hemmel gheit.,tiere-pflanzen-landwirtschaft,
702,702,Hans Bieri holte eintausendneunhundertsechsundneunzig als einer der ersten Schweizer Wasserbüffel auf seinen Hof.,De Hans Bieri het sich nünzehsechsenünzg als eine vo de erschte Schwiizer Wasserbüffel uf de Hof gholt.,Dr Hans Bieri het nünzähsächsänünzg aus einä vodä erschtä Schwizer Wasserbüfflä uf si Hof ghout.,Dr Hans Bieri het tuusignüünhundertsechsänünzig eina vu da ersta Schwizer Wasserbüffel uf sin Hof gholt.,De Hans Bieri hät nünzähsächsenünzg eine vode erste Schwizer Wasserbüffel uf sin Hof gholt.,Der Hans Bieri het ninzähhunertsägschuninzg als eine vane erschtu Schwizer Wasserbüffla uf schine Hof gholt.,Dr Hans Bieri het nünzähsächsenünzig als erste Schwiizer Wasserbüffel uf si Hof gholt.,Hans Bieri het nünzähhondertsächenünzg als eine fode erschte Schwizer Wasserböffel a sin Hof gholt.,De Hans Bieri hed anno nünzäsächsenünzg eine vode erste Schwiizer Wasserböffel uf sine Hof gholt.,tiere-pflanzen-landwirtschaft,
703,703,Allerdings sind gerade Eukalyptus-Bäume an regelmässige Feuer angepasst.,Allerdings sind gad Eukalyptus-Bäum a regelmässigi Füür aapasst.,Auerdings si grad Eukalyptus-Böim a regumässigi Füür aapasst.,Allerdings sind grad Eukalyptus-Bäum an regelmässigi Füür aapasst.,Aber grad Eukalyptus-Boim sind a regelmässigs Für ahpasst.,Allerdings sind gar Eukalyptus-Beim an regelmässigi Fiir ahgipasst.,Allerdings sind grad Eukalyptus-Bäum an regelmässigi Füür ahpasst.,Allerdengs send grad Eukalyptus-Bäum a regelmässigs Für apasst.,Allerdengs send sech grad Eukalyptus-Bäum a regelmässigs Füür gwöhnt.,tiere-pflanzen-landwirtschaft,
704,704,Sie gehören aber zu den Eidechsen.,Si ghöred aber zu de Eidechse.,Si ghörä aber zudä Eidechsä.,Sie ghören aber zu da Eidechsa.,Si ghöred aber zude Eidächse.,Schi kehrunt aber ze Eidechse.,Si ghöre aber zu de Eidechse.,Sie ghöre aber zode Eidächsli.,Sie ghöred aber zode Eidechsli.,tiere-pflanzen-landwirtschaft,
705,705,Dort wurden sie gegen Lungenentzündungen geimpft und drei Wochen in einem Einzeliglu gehalten.,Döt sinds geg Lungeentzündige gimpft worde und drü Wuche imne Einzeliglu ghalte worde.,Dert sisi gägä Lungänentzündigä gimpft und drü Wuchä imenä Einzuiglu ghautä wordä.,Döt sind sie geg Lungaentzündiga gimpft und drei Wucha inem Einzeliglu ghalta worda.,Det sind si gäge Lungeentzündige gimpft und drü Wuche imne Einzeliglu ghalte worde.,Da sind schi gägu Lunguentzindige gimpft und dri Wuche imu Einzeliglu ghaltu wordu.,Si sind dört gege Lungenetzündige gimpft und drei Wuche im Einzeliglu ghalte worde.,Dete send gäge Longeentzönig gempft worde ond drü Woche emene Einzeliglu ghalte worde.,Döt sends gäge Longeenzöndige gempft ond drü Woche i Einzeliglus ghalte worde.,tiere-pflanzen-landwirtschaft,
707,707,Was macht für Sie den Reiz am Job des Survival-Trainers aus?,Wa macht für Sie de Reiz am Job vom Survival Trainer us?,Was macht für öich dr Reiz am Job vom Survival-Trainer us?,Was macht für Sie dr Reiz am Job vum Survival-Trainer uus?,Was macht für Sie de Reiz am Job vom Survival-Trainer us?,Was macht fer Ew der Reiz am Job vam Survival-Trainer üs?,Was macht für Sie de Reiz am Job als Survival-Trainer us?,Was macht för sie de Reiz am Job fom Survival-Trainer us?,Was macht för sie de Reiz am Job Survival-Trainer us?,tiere-pflanzen-landwirtschaft,True
708,708,Die Hunde waren also der Verbindungspunkt.,dHünd sind also de Vobindigspunkt gsi.,D Hüng si auso dr Verbindigspunkt gsi.,D Hünd sind also dr Verbindigspunkt gsi.,D Hünd sind also de Verbindigspunkt gsi.,D'Hind sind also der Verbindigspunkt gsi.,D Hünd sind also dr Verbindigspunkt gseh.,D'Hönd send also de Verbendigsponkt gsi.,D Hönd send aso de Verbendigsponkt gsi.,tiere-pflanzen-landwirtschaft,
709,709,Seine Beute sind vor allem kleinere Wasservögel wie Enten.,Sini Büüti sind vor allem chlineri Wasservögel wie Ente.,Sini Bütti si vor auem chlineri Wasservögu wi Äntä.,Sini Büüti sind vor allem klineri Wasservögel wia Enta.,Sini Büti sind vor allem chlineri Wasservögel wie Änte.,Schini Beuta sind vor allem chleineri Wasservegel wie Änte.,Sini Büti sind vorallem kleini Wasservögel wie Änte.,Sini Büti send vorallem chlinere Wasservögel wie Äntene.,"Sini Büüti send vorallem chlini Wasservögel, zom Bispel Änte.",tiere-pflanzen-landwirtschaft,
710,710,"Es ist der Einstieg in eine Ausstellung, die sich vielschichtig und breit mit dem Thema Jagd in der Kunst auseinandersetzt.","Es isch de Iistig ine Uusstellig, wo sich vielschichtig und breit mit em Thema Jagd i de Kunscht usenandersetzt.","Äs isch dr Iischtig inä Usschtellig, wosech viuschichtig und breit mitem Thema Jagd ir Kunscht usenangsetzt.","Es isch d Iistieg in a Usstellig, wo sich vielschichtig und breit mitam Thema Jagd in dr Kunst ussanandsetzt.","Es isch de Istig vonere Usstellig, wo sich villschichtig und breit mitem Thema Jagd und Kunst usenandsetzt.","Es isch der Ihstieg in en Üsstellig, wa schich villschichtig und breit mit dem Thema Jagd iner Kunscht üsenandsetzt.","Es isch dr Ihstig in ä Usstellig, wo sich breit mit em Thema Jagd und Kunst usenandersetzt.","Es esch de Istieg ene Usstellig, wo sech vellschechtig ond breit metem Thema Jagd ede Konscht osenandersetzt.","Es esch de Isteg ine Usstellig, wo sech vellschechtig met em Thema Jagd ide Konst usenandsetzt.",tiere-pflanzen-landwirtschaft,
711,711,Seit zweitausendfünfzehn leben sie wild und ohne Zutun eines Imkers.,Sit zweituusigfüfzeh lebed sie wild und ohni Zuetue vomne Imker.,Sit zwöituusigfüfzäh läbä si wiud und ohni Zuetuä vomenä Imker.,Siit zweituusigfufzehn leben sie wild und ohni Zuatua vunem Imker.,Sit zweitusigundfüfzäh läbeds wild und ohni Betreuig vomne Imker.,Sit zweitüüsigundfufzäh läbunt schi wild ohni Züetüe vamu Imker.,Siit em zweituusigundfufzäh läbe si wild ohni s Zuetue vo me Imker.,Set zwoitusigondföfzäh läbe sie weld ond ohni Zuetue fomene Imker.,Set zwoitusigondföfzäh läbeds weld ond ohni Helf vomene Imker.,tiere-pflanzen-landwirtschaft,
712,712,"Wildbienen finden zu wenig Nahrung, und es fehlen ihnen überlebenswichtige Strukturen wie Nistplätze.","Wildbiene finded zwenig Nahrig, end es fehled ihne überlebenswichtigi Strukture wie Nistplätz.",Wiudbienä findä z wenig Nahrig und es fählä inä überläbenswichtigi Schtrukturä wi Nischtplätz.,"Wildbiena finden z wenig Nahrig, und es fehlen ihna überlebenswichtigi Struktura wia Nistplätz.",Wildbiendli finded zwenig Zässe und es fähled ihne überläbenswichtigi Stukture wie Nistplätz.,"Wildbijini findunt z'wenig Nahrig, und es fählunt nu uberläbenswichtigi Strukture wie Nischtplätz.","Wildbiene finde nur wenig Nahrig, und es fehle ihne überläbenswichtigi Strukture wie Nistplätz.","Weldbiendli fende z'wenig Nahrig, ond es fehle ehne öberläbenswechtigi Strukture wie Neschtplätz.","Weldbiinli fended zwenig z Ässe, ond es fähled ne öberläbeswechtigi Strukture wie Nistplätz.",tiere-pflanzen-landwirtschaft,
713,713,Neue invasive Muscheln wurden damit schon frühzeitig aufgespürt.,Neui invasivi Muschle sind demit scho früehziitig ufgspürt worde.,nöii invasivi Muschlä si drmit shco früezitig ufgschpürt wordä.,Neui invasivi Muschla sind drmit scho früahzitig ufgspüart worda.,Noi invasivi Muschle sind mit däm scho früezitig gfunde worde.,Nöiji invasivi Muschle het mu dermit scho früehzitig üfgspiert.,Neui invasivi Muschle sind demit scho früehziitig ufgspürt worde.,Neui invasivi Moschle send dodemet scho früeh ufgspührt worde.,"Neui, invasivi Moschle hed mer so scho früehzitig bemerkt.",tiere-pflanzen-landwirtschaft,
714,714,fünfundvierzig Prozent der Feldvögel in der Schweiz sind bedroht.,füfevierzg Prozent vo de Feldvögel ide Schwiiz sind bedroht.,Füfävierzg Prozänt vodä Fäudvögu ir Schwiz si bedroht.,füüfäviarzig Prozent vu da Feldvögel in dr Schwiz sind bedroht.,Foifevierzg Prozänt vode Fäldvögel ide Schwiz sind bedroht.,Füfuvierzg Prozänt vane Fäldvegel iner Schwiz sind bedroht.,Fünfevierzig Prozänt vo dä Fäldvögel in dr Schwiiz sind bedroht.,foifevierzig Prozänt fode Fäldvögel ede Schwiz send bedroht.,Füfevierzg Prozänt vode Weldvögel ide Schwiiz send bedroht.,tiere-pflanzen-landwirtschaft,
715,715,"Und wer sich traut, Brennnesseln im Topf zu ziehen, hat eine gute Chance auf Tagpfauenaugen, Admirale oder den kleinen Fuchs.","Und wer sich traut, Brennessle im Topf zzieh, het e gueti Chance uf Tagpfaueeauge, Admiräl oder de chlii Fuchs.","U wär sech trout, Brennnesslä im Topf z zieh, het ä gueti Chance uf Tagpfauänougä, Admiralä odr dr chliin Fuchs.","Und wer sich traut, Brennnessla im Topf z zücha, het a guati Chance uf Tagpfauanauga, Admiral oder dr klini Fuechs.","Und wär sich getraut, Brennessle im Topf z zie, hät gueti Chance uf Tagpfauauge, Admiral oder de chlini Fuchs.","Und wer schich trut, Nässje im Topf z'zieh, het en güeti Chance uf Tagpfauuöige, Admirali oder de chlei Fux.","Und wär sich traut, Brennessle im Topf z zieh, het gueti Chance uf Tagpfaueauge, Admiralä oder de kliini Fuchs.","Ond wer sech trout, Brönnässle em Topf z'zieh, het gueti Chanceof Tagpfaueauge, Admirali oder de chlini Fochs.","Ond wer sech trout, Brönessle em Topf z zieh, hed e gueti Chance uf Tagpfauenauge, Admiräl oder de Chlini Fochs.",tiere-pflanzen-landwirtschaft,
716,716,"Wasserinsekten wie Rückenschwimmer, Teichläufer und kleine Libellenlarven siedeln sich von selbst an.","Wasserinsekte wie Ruggeschwimmer, Teichläufer und chlini Libellelarve siedled sich vo selber ah.","Wasserinsektä wi Rüggäschwümmer, Teichlöifer oder chliini Libellälarvä sidlä sech vo säuber a.","Wasserinsekta wia Ruckaschwimmer, Teichläufer und klini Libellalarva siedeln sich vu selber ah.","Wasserinsekte wie Ruggeschwümmer, Teichläufer und chlini Libällelave sidled sich vo sälber ah.","Wasserinsektu wie Riggschwimmer, Teichlöifer und chleini Libellularve siedlunt schich va sälber ah.","Wasserinsekte wie dr Ruggeschwümmer, Teichläufer und kliini Libällelarve siedle sich vo sälber ah.","Wasserinsekte wie de Rögeschwömmer, Teichläufer oder die chlini Labellelarve sedle sech fo sälber ah.","Wasserinsekte wie de Röggeschwemmer, Teichläufer ond chlini Libellelarve sedled sech vo sälber ah.",tiere-pflanzen-landwirtschaft,
